Player,Age,Team,Minutes,Offense Position,Offensive Archetype,Defensive Role,LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON,Avg Speed Defense,Avg Speed Offense,Minutes Consistency,True Usage%,Years of Experience,Height,Weight,DHO Coverage Aggression,DHO Coverage Versatility,Defensive Positional Versatility,Foul Trouble%,Fouls Committed / 75,Fouls Drawn / 75,Guarded Ball Dominance%,Guarded O-LEBRON,Guarded Off-Ball%,Guarded USG%,Matchup Difficulty,Off-Ball Coverage Aggression,Off-Ball Coverage Versatility,Overall Coverage Versatility,Overall Coverage Aggression,P&R Coverage Aggression,P&R Coverage Versatility,Shot Location Versatility,Stable Avg 2PT Shot Distance,3PT Foul Rate%,3PT Openness Rating,3PT Pull Up Openness Rating,3PT Pull Up Shot Creation,3PT Pull Up Shot Making,3PT Pull Up Shot Making Efficiency,3PT Shooting Talent,3PT Shot Creation,3PT Shot Making,3PT Shot Making Efficiency,3PT Pull Up%,3PT Pull Up Talent,3PT Pull Up Shot Quality,3PT Shot Quality,3PT Versatility,3PT Versatility Rating,3PTA Rate%,Avg. 3PT Shot Distance,C&S 3PT Openness Rating,C&S 3PT Shooting Talent,Stable C&S 3PT%,Drive Foul Rate,Floater Talent,Midrange Talent,Post Up Shot Making,Total Iso Impact / 75,Cut FG%,Stable ATB 3PT%,Stable Avg 3PT Shot Distance,Stable Corner 3PT%,Stable NonHeave ATB 3PT%,Stable Pull Up 3PT%,Movement Attack Rate%,Off Screen Poss/ 75 Poss,Finishing Talent,Screening Talent,Playmaking Talent,Stable Bad Pass Turnovers Per 75,Stable Non Bad Pass Turnovers Per 75,Post Up Impact / 75 Poss,Contested OReb%,OReb Per Game,Putback Shot Making,% Rim Shots Contested%,Post Defense,Bad Pass Steals,Pickpocket Rating,Defensive Rebounding Talent,Defensive RAPTOR,Offensive RAPTOR,Multiple Teams
Cade Cunningham,22,DET 2024,2074,PG,Slasher,Helper,2.87,-0.25,0.76,-1.02,4.20,4.82,97.69,33.26,4.00,78.00,220.00,125.85,33.33,61.90,3.04,2.68,3.39,16.63,-0.10,83.37,19.68,-0.55,109.61,48.24,113.62,46.73,120.04,38.89,57.93,448.81,0.38,0.17,0.03,-0.52,0.23,-0.01,0.28,0.60,0.19,0.03,32.52,0.52,-1.33,-0.60,52.91,0.38,28.71,26.60,0.17,-0.12,37.59,6.86,0.05,1.39,0.14,-0.32,64.71,35.47,28.12,38.36,35.53,34.00,20.93,1.21,0.58,-0.05,1.94,1.62,1.93,-0.15,33.33,0.53,-0.18,40.80,-0.10,33.00,0.40,-0.47,-0.29,-0.73,No
Caleb Houstan,21,ORL 2024,815,SF,Movement Shooter,Helper,-0.03,-2.53,-1.18,-1.36,4.20,4.30,98.59,23.12,1.00,79.00,200.00,113.87,38.75,71.30,0.61,2.84,0.89,13.49,-0.10,86.51,18.55,-1.24,102.48,40.37,113.59,45.35,116.91,41.09,56.58,293.28,0.35,0.07,0.13,0.06,-0.09,-0.67,0.11,-1.00,0.00,-0.19,20.00,-0.73,1.08,0.41,33.31,-0.46,93.69,24.99,-0.38,1.32,37.90,4.76,-0.71,-0.83,0.00,0.00,100.00,37.02,25.68,39.83,36.88,33.23,15.24,1.06,0.54,-1.51,-0.04,0.35,0.69,0.00,25.00,0.47,0.06,32.30,-0.10,9.00,0.28,-1.85,-0.29,-0.73,No
Caleb Martin,28,MIA 2024,1756,SF,Movement Shooter,Point of Attack,1.86,-0.77,-1.23,0.46,4.20,4.77,98.59,19.92,4.00,76.00,175.00,120.13,28.00,59.47,0.57,2.74,2.35,21.57,-0.10,78.43,22.33,1.17,108.38,52.00,113.57,45.13,118.60,42.50,59.67,1006.14,1.26,-0.26,-0.04,0.60,0.01,-0.32,-0.65,-0.57,-0.40,-0.89,35.90,-0.37,1.24,0.86,37.39,-0.66,41.50,25.23,-0.17,-0.48,36.70,5.83,-0.47,-0.73,1.22,-0.37,62.96,35.32,27.42,38.49,35.39,34.00,11.76,0.56,-0.67,-0.64,0.15,0.52,1.19,0.02,45.95,1.16,-0.01,32.70,-0.10,33.00,0.30,0.61,-0.29,-0.73,No
Cam Reddish,24,LAL 2024,984,SF,Athletic Finisher,Point of Attack,0.52,-1.61,-2.41,0.80,4.19,4.70,77.81,36.70,1.00,74.00,185.00,121.59,20.00,51.00,1.22,2.32,1.60,24.33,-0.10,75.67,24.28,2.54,99.13,40.44,113.54,46.44,120.13,44.64,52.16,32.52,2.04,0.00,-0.12,-0.67,0.06,-0.18,-0.94,-0.90,-0.50,-1.31,50.00,-0.44,0.26,1.90,20.91,-1.48,47.01,24.23,0.40,-0.79,36.41,16.83,-0.68,-1.09,0.00,0.00,77.78,34.55,27.46,38.47,35.05,32.59,6.79,0.42,-0.70,-0.61,0.05,0.21,1.04,0.00,18.52,0.56,-0.63,33.10,-0.10,28.00,0.69,-0.88,-0.29,-0.73,No
Cam Thomas,22,BRK 2024,2075,SG,Shot Creator,Helper,1.75,-1.11,0.81,-1.92,4.19,5.76,98.59,29.60,1.00,77.00,215.00,108.31,36.00,54.20,3.08,2.46,4.84,16.01,-0.10,83.99,18.92,-1.17,101.13,46.32,113.50,39.20,112.47,40.32,31.21,66.51,0.00,0.42,0.30,-0.62,-0.20,-0.62,0.76,1.34,0.39,0.26,30.62,0.49,-0.56,-1.05,55.92,0.60,33.28,25.94,-0.30,0.34,40.14,8.95,1.37,1.57,0.23,0.06,44.44,36.07,26.46,38.76,36.89,33.00,17.05,0.48,-0.17,-0.64,-0.10,0.63,1.53,-0.02,32.14,0.42,0.77,39.50,-0.10,27.00,0.32,-0.42,-0.29,-0.73,No
Cam Whitmore,19,HOU 2024,880,SF,Athletic Finisher,Helper,1.52,0.30,1.17,-0.86,4.19,4.60,98.59,26.10,3.00,77.00,219.00,104.49,44.62,77.50,0.00,2.59,2.99,14.84,-0.10,85.16,18.82,-1.34,109.02,50.30,113.50,49.59,117.30,49.39,54.98,202.86,1.19,-0.29,-0.10,0.55,-0.82,-2.08,0.32,0.45,-0.10,-0.38,23.46,-0.52,1.13,0.40,46.45,-0.07,47.11,26.15,-0.20,0.79,39.65,11.84,-0.65,-0.30,0.00,-0.68,61.29,36.38,45.86,39.63,36.26,34.78,18.30,1.69,-0.58,-0.51,-0.27,0.48,1.37,0.00,50.00,0.94,0.04,32.60,-0.10,20.00,0.40,0.54,-0.29,-0.73,No
Cameron Johnson,27,BRK 2024,1599,PF,Movement Shooter,Helper,3.20,0.73,0.99,-0.26,4.19,4.80,100.87,33.99,3.00,79.00,214.00,91.17,34.55,67.90,2.38,2.46,2.18,15.34,-0.10,84.66,19.75,-0.65,103.47,43.65,113.48,49.62,121.07,62.28,51.40,73.61,0.00,0.47,0.53,-0.87,-0.73,-1.76,0.69,-0.33,0.56,0.49,24.24,-0.90,0.71,0.09,41.88,0.19,57.03,25.27,-0.19,1.75,40.15,5.05,-0.45,-0.69,-0.85,0.13,68.18,33.87,29.61,38.00,35.00,32.89,0.00,0.00,-1.62,1.52,-0.38,0.70,0.73,0.00,34.55,0.95,0.31,38.60,-0.10,31.00,0.43,0.04,-0.29,-0.73,No
Cameron Payne,29,PHI 2024,1304,PG,Primary Ball Handler,Chaser,0.97,-1.27,-0.36,-0.92,4.19,4.59,94.58,21.52,4.00,83.00,249.00,94.78,33.70,39.80,1.30,3.55,1.72,18.78,-0.10,81.22,19.42,-0.82,104.08,45.70,113.42,38.95,115.30,29.89,65.51,961.48,2.53,-0.58,-0.37,0.89,0.59,1.20,0.58,0.51,0.36,0.61,42.86,0.96,-0.49,-0.62,52.41,0.64,55.51,52.62,0.03,0.13,37.42,4.88,1.20,0.06,0.00,-0.07,50.00,36.86,25.55,39.54,36.72,31.75,0.00,0.70,-1.26,-0.20,0.15,0.86,1.04,0.00,19.05,0.27,0.28,36.60,-0.10,22.00,0.56,-1.03,-0.29,-0.73,No
Caris LeVert,29,CLE 2024,1958,SG,Primary Ball Handler,Point of Attack,3.82,0.65,0.67,-0.02,4.19,4.82,89.82,34.22,1.00,72.00,188.00,107.87,40.00,44.10,0.51,2.28,2.89,19.32,-0.10,80.68,21.45,0.68,104.79,41.78,113.40,41.75,117.01,42.42,60.39,337.51,2.41,-0.44,-0.34,-0.01,-0.78,-1.63,-0.56,0.68,-0.77,-1.28,27.54,-0.48,0.74,0.30,50.76,-0.36,40.49,25.55,0.10,-0.57,37.35,6.03,-0.21,-0.73,1.10,-0.28,53.33,33.10,25.99,39.56,33.33,31.90,12.50,0.67,-0.43,0.24,0.48,0.94,1.24,0.04,51.28,0.57,0.37,35.80,-0.10,55.00,0.40,0.64,-0.29,-0.73,No
Cason Wallace,20,OKC 2024,1692,SG,Athletic Finisher,Point of Attack,1.29,-1.24,-1.51,0.27,4.18,4.61,98.59,29.35,5.00,78.00,217.00,115.14,47.83,89.80,1.00,2.77,0.82,21.29,-0.10,78.71,21.66,0.71,108.73,51.20,113.29,41.54,121.06,38.59,29.41,295.22,0.00,0.03,0.00,0.00,-0.26,-1.10,-0.19,-0.76,0.12,0.08,25.93,-0.73,0.89,1.83,29.91,-0.45,52.94,24.48,0.22,0.48,40.73,3.21,-0.63,-0.60,0.00,-0.09,75.61,32.10,25.71,38.03,32.61,29.59,5.79,0.40,-0.67,0.73,0.56,0.39,0.70,0.00,61.54,0.63,0.10,34.00,-0.10,39.00,0.79,-0.71,-0.29,-0.73,No
