Player,Age,Team,Minutes,Offense Position,Offensive Archetype,Defensive Role,LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON,Avg Speed Defense,Avg Speed Offense,Minutes Consistency,True Usage%,Years of Experience,Height,Weight,DHO Coverage Aggression,DHO Coverage Versatility,Defensive Positional Versatility,Foul Trouble%,Fouls Committed / 75,Fouls Drawn / 75,Guarded Ball Dominance%,Guarded O-LEBRON,Guarded Off-Ball%,Guarded USG%,Matchup Difficulty,Off-Ball Coverage Aggression,Off-Ball Coverage Versatility,Overall Coverage Versatility,Overall Coverage Aggression,P&R Coverage Aggression,P&R Coverage Versatility,Shot Location Versatility,Stable Avg 2PT Shot Distance,3PT Foul Rate%,3PT Openness Rating,3PT Pull Up Openness Rating,3PT Pull Up Shot Creation,3PT Pull Up Shot Making,3PT Pull Up Shot Making Efficiency,3PT Shooting Talent,3PT Shot Creation,3PT Shot Making,3PT Shot Making Efficiency,3PT Pull Up%,3PT Pull Up Talent,3PT Pull Up Shot Quality,3PT Shot Quality,3PT Versatility,3PT Versatility Rating,3PTA Rate%,Avg. 3PT Shot Distance,C&S 3PT Openness Rating,C&S 3PT Shooting Talent,Stable C&S 3PT%,Drive Foul Rate,Floater Talent,Midrange Talent,Post Up Shot Making,Total Iso Impact / 75,Cut FG%,Stable ATB 3PT%,Stable Avg 3PT Shot Distance,Stable Corner 3PT%,Stable NonHeave ATB 3PT%,Stable Pull Up 3PT%,Movement Attack Rate%,Off Screen Poss/ 75 Poss,Finishing Talent,Screening Talent,Playmaking Talent,Stable Bad Pass Turnovers Per 75,Stable Non Bad Pass Turnovers Per 75,Post Up Impact / 75 Poss,Contested OReb%,OReb Per Game,Putback Shot Making,% Rim Shots Contested%,Post Defense,Bad Pass Steals,Pickpocket Rating,Defensive Rebounding Talent,Defensive RAPTOR,Offensive RAPTOR,Multiple Teams
Davion Mitchell,25,SAC 2024,1101,PG,Secondary Ball Handler,Point of Attack,0.06,-2.38,-1.67,-0.71,4.11,4.90,98.59,26.61,1.00,77.00,205.00,119.57,31.43,80.90,0.73,2.87,1.69,22.47,-0.10,77.53,21.48,0.68,104.85,48.73,111.36,25.00,115.95,16.67,17.95,7.12,33.33,-0.08,0.01,-0.84,-0.11,-0.68,-0.42,-0.24,-0.29,-0.99,32.35,-0.32,2.24,1.61,34.04,-0.84,48.92,25.29,0.38,-0.22,37.71,2.60,-0.25,-0.38,0.00,-0.16,77.78,35.86,25.67,40.97,36.03,34.14,11.00,1.06,-0.39,-0.38,0.29,0.53,1.01,0.00,15.79,0.26,-0.01,30.50,-0.10,12.00,0.17,-1.06,-0.29,-0.73,No
D?vis Bert?ns,31,CHO 2024,674,PF,Off Screen Shooter,Low Activity,0.57,-1.12,-0.75,-0.37,4.11,4.68,91.51,23.02,2.00,82.00,225.00,82.30,20.00,60.00,0.15,3.12,1.45,11.99,-0.10,88.01,17.02,-1.91,100.80,46.80,111.33,52.22,123.96,72.31,37.30,216.60,0.00,0.41,0.15,-0.55,-0.05,-0.51,0.90,-0.67,0.58,0.94,26.92,-0.41,-2.02,-2.05,53.58,0.85,85.47,51.63,-0.73,2.11,38.50,3.70,-0.69,-0.87,0.00,0.11,70.00,34.62,47.70,37.38,35.37,32.32,4.52,0.26,-0.25,0.15,0.36,0.49,0.78,0.00,55.56,0.21,-0.36,35.10,-0.10,16.00,0.56,-1.54,-0.29,-0.73,No
Day'Ron Sharpe,22,BRK 2024,921,C,Roll + Cut Big,Mobile Big,1.77,0.61,0.02,0.59,4.11,4.66,101.63,33.92,3.00,78.00,195.00,110.56,36.30,65.40,4.56,5.31,4.29,12.25,-0.10,87.75,19.20,-0.92,95.40,34.31,111.30,38.13,115.65,42.00,40.98,369.18,1.18,0.37,0.22,-0.12,0.00,0.00,-0.98,-1.12,-0.10,-0.57,0.00,0.00,0.00,0.51,14.17,-1.36,5.10,24.97,0.65,-1.22,37.38,3.70,-0.84,-0.74,0.63,-0.07,44.62,33.07,45.09,38.67,33.24,30.38,7.50,0.13,0.01,1.87,-0.39,0.94,1.71,0.01,71.43,2.64,0.11,43.90,-0.10,16.00,0.32,1.02,-0.29,-0.73,No
De'Aaron Fox,26,SAC 2024,2659,PG,Shot Creator,Point of Attack,9.15,3.05,2.64,0.41,4.11,4.48,89.59,22.06,0.00,78.00,220.00,108.31,36.00,67.10,1.69,2.63,4.54,20.79,-0.10,79.21,20.49,0.14,100.50,43.46,111.28,42.71,113.65,34.36,44.66,523.94,9.70,-0.75,-0.37,3.58,0.63,0.25,1.20,1.62,0.65,0.40,35.61,1.51,0.56,-0.46,65.32,1.02,37.44,25.85,-0.15,-0.14,38.53,8.89,2.35,1.73,0.69,0.21,78.95,33.87,28.49,37.79,34.87,32.79,57.89,0.49,-0.29,0.10,0.87,1.11,1.48,0.07,35.82,0.91,0.38,33.80,-0.10,65.00,1.17,-0.28,-0.29,-0.73,No
De'Andre Hunter,26,ATL 2024,1681,SF,Shot Creator,Wing Stopper,1.10,-1.41,-0.81,-0.60,4.11,4.69,95.50,31.28,1.00,83.00,240.00,90.62,34.14,44.80,5.00,3.16,4.17,17.61,-0.10,82.39,21.55,0.82,103.52,46.99,111.27,47.78,120.82,31.48,55.70,126.40,0.00,0.24,0.11,-1.02,-0.34,-0.97,-0.16,-0.14,-0.18,-0.45,33.33,-0.48,1.87,1.06,44.01,-0.19,45.85,24.98,-0.17,0.46,38.69,9.39,0.66,0.39,0.40,-0.26,75.00,36.65,26.27,39.19,36.62,32.11,18.77,1.90,-0.40,0.04,-0.74,0.45,1.34,-0.05,35.48,0.54,-0.17,36.40,-0.10,23.00,0.37,-0.26,-0.29,-0.73,No
De'Anthony Melton,25,PHI 2024,1023,SG,Secondary Ball Handler,Point of Attack,2.16,0.91,0.36,0.56,4.11,4.37,86.83,19.83,7.00,81.00,250.00,96.09,30.00,47.90,2.83,2.98,2.06,20.63,-0.10,79.37,21.72,0.52,105.44,46.90,111.24,46.53,113.57,44.07,48.59,180.78,0.00,0.30,-0.03,-0.61,0.16,-0.10,0.07,0.39,-0.18,-0.45,38.10,0.40,0.71,0.49,49.49,0.01,59.44,25.82,-0.14,0.01,37.02,7.89,-0.82,-0.66,0.00,-0.31,57.14,34.66,26.35,38.76,34.80,32.01,18.60,0.45,-0.54,0.43,0.43,0.62,0.89,0.00,67.86,0.74,0.50,40.90,-0.10,35.00,0.89,0.26,-0.29,-0.73,No
Dean Wade,27,CLE 2024,1108,PF,Movement Shooter,Wing Stopper,1.83,0.18,-1.29,1.47,4.11,3.98,89.78,16.42,7.00,79.00,210.00,108.31,36.00,50.30,3.34,3.12,1.24,17.23,-0.10,82.77,22.17,0.85,101.28,38.24,111.22,32.05,139.81,16.67,39.86,16.23,0.00,-0.04,-0.06,-0.43,0.23,0.33,-0.04,-0.98,0.13,0.04,83.33,-0.42,0.48,0.94,25.67,-0.63,87.07,24.94,0.09,0.60,37.92,2.44,0.00,-0.96,-0.87,-0.05,85.71,36.57,44.65,38.63,36.54,33.00,9.34,0.33,-0.97,-0.15,-0.85,0.26,0.65,0.00,40.54,0.69,1.22,41.40,-0.10,22.00,0.60,0.85,-0.29,-0.73,No
Deandre Ayton,25,POR 2024,1784,C,Post Scorer,Mobile Big,1.56,-1.07,-1.31,0.24,4.11,4.50,87.96,33.94,3.00,77.00,200.00,108.31,36.00,55.30,1.91,2.29,1.64,14.11,-0.10,85.89,20.66,0.25,88.24,26.77,111.21,46.83,105.72,54.17,50.95,55.18,1.52,-0.21,0.01,-1.20,0.00,0.00,-1.12,-1.17,-0.18,-0.70,0.00,0.00,0.00,0.27,20.83,-1.18,1.34,29.04,0.29,-1.42,37.10,2.41,-0.49,1.30,0.08,-0.18,64.23,34.67,25.69,39.30,35.31,32.25,10.84,0.93,-0.83,-0.74,-0.19,0.38,1.65,-0.30,57.95,3.20,0.45,34.60,-0.10,42.00,0.29,1.63,-0.29,-0.73,No
DeAndre Jordan,35,DEN 2024,396,C,Athletic Finisher,Anchor Big,0.28,-1.31,-1.44,0.13,4.11,4.69,98.59,18.91,2.00,84.00,245.00,85.95,33.19,63.66,2.27,5.39,4.62,11.50,-0.10,88.50,19.62,-0.96,86.33,23.88,111.17,52.67,111.93,58.28,56.64,1002.82,2.35,-0.70,-0.52,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.54,0.00,0.00,38.00,0.00,0.00,-0.90,0.09,0.00,68.00,35.42,27.45,38.07,35.69,33.43,9.68,0.09,-0.25,0.38,0.13,0.41,1.62,0.00,77.78,1.50,-0.15,36.80,-0.10,4.00,0.19,-0.29,-0.29,-0.73,No
Dejounte Murray,27,ATL 2024,2783,SG,Shot Creator,Point of Attack,5.19,0.51,1.68,-1.17,4.10,4.67,98.00,28.18,3.00,78.00,210.00,98.89,44.00,79.50,0.97,1.79,2.49,22.51,-0.10,77.49,22.07,1.41,110.58,52.07,111.09,44.65,111.53,33.69,30.30,151.95,0.00,0.33,-0.06,-1.53,-0.13,-0.52,0.90,1.24,0.53,0.33,32.03,0.48,-1.01,-1.13,59.03,0.75,37.87,25.39,-0.63,0.75,38.61,4.92,0.98,1.88,-0.16,0.58,50.00,36.53,26.48,40.21,36.71,33.10,4.77,0.35,-0.33,0.66,0.28,1.24,1.32,-0.01,40.32,0.79,-0.01,44.80,-0.10,86.00,0.32,0.79,-0.29,-0.73,No
Delon Wright,31,MIA 2024,742,PG,Secondary Ball Handler,Chaser,1.35,0.44,-0.56,1.00,4.10,4.61,98.76,23.78,7.00,79.00,232.00,114.82,36.43,75.20,0.00,1.58,2.13,19.93,-0.10,80.07,20.28,-0.23,95.57,36.92,111.03,46.76,113.11,44.99,48.04,398.68,0.62,0.08,-0.14,-0.44,-0.13,-0.76,-0.39,-0.05,-0.06,-0.38,23.53,-0.36,0.00,0.71,36.43,-0.44,36.17,51.96,0.04,-0.52,38.52,8.43,-0.51,-0.54,1.04,-0.09,66.67,35.95,25.69,39.83,35.85,30.14,21.60,1.94,-0.58,1.14,0.17,0.24,0.75,0.05,36.84,0.40,0.14,38.00,-0.10,40.00,0.69,-0.39,-0.29,-0.73,No
DeMar DeRozan,34,CHI 2024,2989,SF,Shot Creator,Low Activity,7.03,1.29,1.65,-0.36,4.10,4.69,101.78,26.06,4.00,81.00,230.00,110.91,42.67,76.40,0.77,2.03,5.53,12.92,-0.10,87.08,17.95,-2.07,97.72,34.08,110.99,42.15,119.33,50.74,29.37,159.88,0.00,0.19,0.35,-0.44,-0.01,-0.34,-0.59,-0.46,-0.11,-0.38,29.79,-0.30,-2.77,-1.19,34.42,-0.52,16.61,25.53,-0.30,-0.73,36.59,11.05,1.62,2.91,0.50,0.55,70.37,35.19,26.26,41.26,35.39,34.83,12.89,2.05,0.55,0.69,0.14,0.75,0.97,0.31,34.88,0.54,0.43,40.30,-0.10,66.00,0.30,-1.29,-0.29,-0.73,No
Deni Avdija,23,WAS 2024,2257,SF,Shot Creator,Wing Stopper,2.26,-0.86,-0.85,-0.01,4.10,4.76,100.99,24.76,2.00,80.00,206.00,111.83,52.26,61.00,2.17,2.88,3.91,18.69,-0.10,81.31,22.21,1.23,104.22,41.50,110.90,45.71,120.10,32.02,41.23,290.40,0.28,-0.07,0.17,1.09,-0.07,-0.48,-0.25,0.01,0.04,-0.12,32.35,-0.15,0.50,0.38,39.08,-0.21,29.27,25.98,-0.04,-0.33,38.96,6.75,-0.72,-0.22,0.18,0.00,57.97,37.14,25.01,41.62,37.02,34.92,13.52,1.11,-0.96,-0.41,0.80,0.95,1.50,-0.10,51.19,1.12,-0.05,43.30,-0.10,47.00,0.20,1.54,-0.29,-0.73,No
Dennis Schroder,30,BRK 2024,2486,PG,Primary Ball Handler,Point of Attack,2.28,-0.99,0.06,-1.06,4.10,4.96,99.75,25.79,4.00,85.00,250.00,94.59,35.36,40.60,1.93,2.46,2.78,22.42,-0.10,77.58,21.90,1.10,107.52,51.01,110.84,49.18,118.15,41.34,60.17,490.02,0.60,-0.13,-0.06,0.99,-0.10,-0.53,-0.28,0.01,-0.21,-0.51,33.78,-0.10,1.54,1.01,41.00,-0.34,39.70,52.16,-0.04,0.03,38.37,5.52,-0.21,-0.15,0.00,-0.23,46.67,34.68,25.53,36.74,34.70,32.79,10.24,0.12,-0.95,0.02,0.92,0.97,1.30,0.00,23.08,0.49,0.68,35.40,-0.10,43.00,0.30,-0.75,-0.29,-0.73,No
Dennis Smith Jr.,26,BRK 2024,1059,PG,Primary Ball Handler,Point of Attack,1.57,-0.09,-0.61,0.52,4.10,4.73,98.59,40.05,4.00,73.00,185.00,109.08,39.31,66.53,4.72,4.31,1.74,22.62,-0.10,77.38,21.98,1.06,109.36,52.00,110.82,49.53,112.33,35.98,66.95,778.11,0.62,-0.19,-0.06,0.24,-0.28,-1.13,-0.80,-0.31,-0.48,-1.43,24.00,-0.54,0.52,0.85,41.67,-0.77,32.25,25.03,0.25,-0.77,36.25,4.19,-0.59,-0.69,0.10,-0.58,84.62,34.70,25.58,38.06,34.73,32.27,12.74,0.12,-0.71,-1.53,1.28,0.91,1.45,0.00,38.00,0.89,0.41,31.00,-0.10,35.00,1.16,0.35,-0.29,-0.73,No
Dereck Lively II,19,DAL 2024,1294,C,Roll + Cut Big,Mobile Big,2.70,0.87,-0.58,1.45,4.09,4.43,98.59,27.90,5.00,82.00,235.00,88.39,34.04,69.80,4.40,4.07,2.12,13.97,-0.10,86.03,20.52,0.00,96.31,37.55,110.80,29.17,115.44,16.67,20.00,0.82,0.00,-0.08,0.00,0.00,0.00,0.00,-1.06,-1.32,-0.08,-0.43,0.00,0.00,0.00,0.67,12.50,-1.35,0.68,22.80,0.37,-1.35,37.71,0.00,-1.01,-0.75,0.00,0.00,79.09,35.85,25.79,40.98,35.86,34.25,2.43,0.05,-0.58,1.34,-0.84,0.40,1.08,-0.05,59.26,2.45,0.47,40.10,-0.10,27.00,0.25,-0.02,-0.29,-0.73,No
Dereon Seabron,23,NOP 2024,55,SG,Low Minute,Low Minute,0.04,-1.24,-0.79,-0.45,4.09,4.64,98.59,29.31,3.00,76.00,175.00,113.78,31.76,76.90,0.00,2.56,2.56,19.70,-0.10,80.30,19.62,-0.39,107.98,36.00,110.78,46.48,109.65,42.24,34.22,181.57,0.00,0.93,0.09,-1.39,0.04,-0.25,-0.74,-0.71,0.00,-0.23,100.00,-0.54,0.18,0.53,25.00,-0.79,15.38,23.75,0.15,-1.27,37.85,0.00,-0.44,-0.46,0.00,0.00,0.00,36.21,26.01,38.32,36.96,33.02,0.00,0.00,-0.05,0.50,-0.42,0.51,1.05,0.00,0.00,0.17,0.79,20.00,-0.10,1.00,0.64,-1.56,-0.29,-0.73,No
Derrick Jones Jr.,26,DAL 2024,1783,SF,Athletic Finisher,Point of Attack,1.49,-1.12,-1.03,-0.09,4.09,5.06,98.59,26.76,1.00,78.00,209.00,123.49,23.33,82.00,0.45,2.46,2.50,21.82,-0.10,78.18,23.64,2.33,104.60,46.77,110.71,42.04,115.95,16.67,38.46,8.49,0.00,0.36,0.24,-1.02,-0.09,-0.58,-0.98,-0.89,-0.65,-1.48,27.27,-0.63,-1.15,1.72,19.57,-1.61,48.28,24.17,0.69,-0.58,36.53,12.11,-0.37,-0.50,0.00,0.13,55.56,33.30,25.82,36.90,33.54,32.34,7.68,0.29,0.25,-0.49,-1.07,0.41,0.98,0.00,48.78,1.08,0.15,39.20,-0.10,32.00,0.43,-0.47,-0.29,-0.73,No
Derrick Rose,35,MEM 2024,399,PG,Slasher,Point of Attack,0.14,-1.91,-0.98,-0.93,4.09,4.70,97.32,43.46,6.00,73.00,175.00,114.31,37.78,52.40,0.00,1.91,2.82,20.62,-0.10,79.38,19.60,-0.76,99.08,41.14,110.69,44.35,113.21,33.86,45.30,357.39,0.35,0.03,0.18,0.32,0.20,0.14,-0.45,-0.37,-0.09,-0.45,54.55,-0.07,-0.61,0.21,36.34,-0.48,24.85,25.10,-0.20,-0.78,37.43,4.55,-0.09,0.40,0.00,-0.37,42.86,38.00,25.66,40.56,37.97,34.26,8.70,0.41,-1.02,1.81,0.24,1.40,1.21,0.00,57.14,0.29,-0.16,34.70,-0.10,4.00,0.36,-0.34,-0.29,-0.73,No
Derrick White,29,BOS 2024,2381,SG,Primary Ball Handler,Point of Attack,7.34,2.47,1.35,1.11,4.09,4.70,93.04,22.80,2.00,79.00,211.00,108.31,36.00,58.80,1.09,2.35,2.38,19.70,-0.10,80.30,21.62,0.87,115.24,51.15,110.66,45.90,109.88,39.72,52.69,94.98,0.00,0.13,-0.05,-1.10,0.12,-0.16,1.01,0.37,0.79,0.66,35.17,0.39,0.38,-0.04,46.72,0.46,59.00,25.75,-0.11,1.30,40.20,7.41,0.53,-0.23,-0.21,0.08,76.19,34.88,24.37,38.82,34.98,32.90,6.36,0.11,-1.56,2.22,1.02,0.71,1.04,-0.01,45.10,0.70,0.07,37.80,-0.10,35.00,0.60,-0.68,-0.29,-0.73,No
Desmond Bane,25,MEM 2024,1443,SG,Primary Ball Handler,Helper,2.66,0.48,1.32,-0.84,4.09,4.93,97.91,25.21,4.00,83.00,240.00,91.92,30.56,52.50,2.77,3.02,3.15,16.52,-0.10,83.48,20.24,-0.21,105.71,41.39,110.64,48.11,122.35,48.37,34.76,272.57,0.00,0.28,-0.25,-1.39,0.42,0.02,1.76,1.88,0.99,0.66,34.56,1.51,0.11,-0.63,66.51,1.20,46.39,26.13,-0.24,0.48,40.05,5.73,-0.44,1.12,0.00,-0.41,55.00,34.93,27.67,39.03,34.94,33.89,0.00,0.50,-0.88,-0.16,0.48,0.89,1.79,0.00,38.89,0.86,-0.06,30.80,-0.10,28.00,0.38,-0.19,-0.29,-0.73,No
Devin Booker,27,PHO 2024,2447,PG,Shot Creator,Helper,8.55,3.14,3.88,-0.75,4.09,4.80,99.03,27.20,1.00,80.00,210.00,109.93,45.96,77.00,6.09,3.08,5.26,17.48,-0.10,82.52,20.16,-0.59,107.47,53.48,110.60,39.25,121.19,27.96,58.67,250.61,1.21,-0.24,-0.10,-0.25,1.23,0.95,0.93,1.60,0.59,0.46,36.19,2.01,-1.20,-1.57,54.53,0.65,32.03,26.19,-0.21,-0.64,37.76,8.56,0.44,3.25,0.68,0.18,77.78,35.63,27.04,39.26,35.67,33.89,12.00,0.41,-1.12,0.07,1.67,0.98,1.61,0.10,32.14,0.82,0.46,36.80,-0.10,42.00,0.28,-0.76,-0.29,-0.73,No
Devin Vassell,23,SAS 2024,2248,SG,Secondary Ball Handler,Helper,2.00,-1.03,-0.06,-0.97,4.09,4.39,100.12,20.15,13.00,83.00,250.00,90.26,28.57,42.10,0.00,1.18,2.42,17.27,-0.10,82.73,19.95,-0.47,98.06,38.10,110.54,46.70,111.24,41.43,37.95,43.43,0.00,0.17,0.02,-0.77,0.27,0.04,0.85,0.42,0.64,0.49,33.13,0.52,-1.51,-1.01,52.59,0.59,42.23,25.79,-0.44,0.81,38.79,5.85,0.85,1.15,-0.87,0.04,75.93,35.74,28.40,38.78,35.76,33.89,34.91,0.06,0.00,1.26,-0.46,0.75,1.00,0.00,25.93,0.40,0.03,42.70,-0.10,53.00,0.32,-0.45,-0.29,-0.73,No
Devonte' Graham,28,SAS 2024,313,PG,Secondary Ball Handler,Chaser,0.37,-0.57,-0.04,-0.53,4.08,4.27,98.59,13.90,1.00,84.00,190.00,110.52,28.00,81.80,0.64,1.62,1.74,15.31,-0.10,84.69,18.26,-1.29,108.15,53.33,110.49,46.88,115.05,48.81,45.72,295.50,3.00,-0.33,-0.05,1.05,-0.05,-0.53,0.46,1.03,-0.12,-0.51,28.21,0.55,-0.86,-1.21,53.97,0.15,76.85,26.09,-0.44,-0.10,36.69,3.70,-0.31,-0.57,0.00,0.73,0.00,35.00,28.09,39.00,35.00,33.00,0.00,0.00,-1.12,1.22,-0.04,0.94,1.09,0.00,0.00,0.22,0.00,36.50,-0.10,6.00,0.35,-0.92,-0.29,-0.73,No
Dexter Dennis,24,DAL 2024,30,SG,Low Minute,Low Minute,0.04,-0.32,-0.06,-0.26,4.08,4.57,96.89,29.13,3.00,75.00,181.00,116.96,31.43,65.10,0.00,1.04,3.13,16.91,-0.10,83.09,18.52,-0.30,83.06,20.00,110.45,42.61,113.90,36.42,63.77,497.74,1.31,-0.46,-0.23,1.06,0.00,0.00,-0.34,-0.97,-0.09,-0.60,0.00,0.00,0.00,-0.09,21.88,-1.09,42.11,25.15,0.04,-0.50,37.52,0.00,-0.39,-0.22,0.00,1.11,0.00,33.09,25.59,40.86,33.72,31.75,8.59,0.50,-0.64,-0.99,-0.11,1.20,1.12,0.00,0.00,0.25,0.00,53.80,-0.10,21.00,0.00,-1.65,-0.29,-0.73,No
Dillon Brooks,28,HOU 2024,2227,SF,Movement Shooter,Wing Stopper,0.53,-2.08,-1.91,-0.17,4.08,4.74,98.59,26.47,3.00,77.00,198.00,123.49,24.44,69.00,7.77,3.97,1.95,21.02,-0.10,78.98,23.82,2.60,113.78,51.19,110.41,50.38,115.31,56.09,41.62,790.98,1.52,-0.21,-0.08,0.42,0.32,0.28,-0.37,-0.46,-0.27,-0.56,37.36,0.10,0.15,0.38,41.49,-0.35,48.18,25.73,0.09,-0.30,36.58,8.07,-0.50,-0.27,0.42,-0.24,70.37,34.00,29.00,38.00,35.00,33.00,0.00,0.00,-0.54,-0.73,-0.49,0.52,0.98,-0.02,47.17,0.74,-0.06,33.10,-0.10,42.00,0.36,-1.25,-0.29,-0.73,No
DJ Carton,23,TOR 2024,36,SG,Low Minute,Low Minute,0.03,-1.07,-0.72,-0.35,4.08,4.53,79.81,47.27,0.00,79.00,195.00,124.38,20.00,61.60,0.00,2.94,2.96,19.55,-0.10,80.45,18.60,-0.21,103.83,40.00,110.38,48.71,119.14,38.03,41.81,308.06,0.00,0.45,0.28,-0.62,0.00,0.00,-0.64,-1.07,-0.02,-0.33,0.00,0.00,0.00,-0.02,12.50,-1.30,50.00,23.95,0.06,-0.90,37.80,0.00,-0.40,-0.64,0.00,2.04,50.00,36.92,25.69,45.52,37.00,33.18,12.39,1.19,-0.07,0.36,-0.11,0.77,1.11,0.00,100.00,0.50,0.00,44.40,-0.10,21.00,0.97,-1.77,-0.29,-0.73,No
Dmytro Skapintsev,25,NYK 2024,2,C,Low Minute,Low Minute,0.00,-0.69,-0.47,-0.22,4.08,4.75,100.67,35.09,4.00,80.00,250.00,109.70,47.50,75.40,0.00,0.00,0.00,11.84,-0.10,88.16,18.63,-0.03,102.52,40.00,110.35,45.26,111.96,41.33,59.38,82.19,0.00,-0.18,-0.06,-0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.54,0.00,0.00,38.00,0.00,0.00,-0.75,-0.72,0.00,0.00,34.32,26.25,38.08,34.37,32.27,8.63,0.15,-0.49,0.38,-0.11,0.71,1.24,0.00,0.00,0.00,0.00,36.40,-0.10,21.00,0.00,-1.98,-0.29,-0.73,No
Domantas Sabonis,27,SAC 2024,2928,C,Post Scorer,Anchor Big,10.69,3.40,1.74,1.66,4.08,4.56,96.47,34.93,0.00,82.00,235.00,106.91,51.76,63.00,5.40,3.13,4.70,13.39,-0.10,86.61,20.35,0.15,93.25,30.68,110.33,40.67,114.42,33.75,36.95,424.35,5.69,-0.57,-0.24,2.30,0.17,0.17,-0.79,-0.92,-0.01,-0.17,66.67,-0.36,-0.94,0.45,20.55,-0.92,8.15,25.92,0.90,-1.07,37.59,7.72,-0.79,0.05,0.32,-0.03,65.69,38.60,50.39,38.73,38.49,34.22,9.78,0.79,-0.22,-1.31,0.91,0.76,2.50,-0.27,63.27,3.59,0.26,44.10,-0.10,52.00,0.28,3.65,-0.29,-0.73,No
Dominick Barlow,20,SAS 2024,420,PF,Roll + Cut Big,Mobile Big,0.60,-0.18,-0.67,0.48,4.08,4.57,94.21,34.31,7.00,83.00,245.00,117.06,82.86,51.50,2.86,4.09,2.70,12.43,-0.10,87.57,18.99,-0.93,98.67,37.78,110.32,37.47,115.56,32.14,44.47,11.21,0.00,-0.21,-0.14,-0.29,0.00,0.00,-0.91,-1.15,-0.04,-0.33,0.00,0.00,0.00,0.38,12.50,-1.30,7.96,23.64,0.16,-1.14,37.99,10.00,-1.01,-0.74,1.04,0.00,64.00,35.64,26.33,37.92,35.67,32.79,15.54,0.59,0.32,-1.48,-0.43,0.44,0.78,0.09,60.00,1.36,0.04,49.40,-0.10,10.00,0.17,-0.68,-0.29,-0.73,No
Donovan Mitchell,27,CLE 2024,1943,SG,Primary Ball Handler,Chaser,7.34,3.61,3.40,0.21,4.08,5.03,92.88,40.72,1.00,75.00,175.00,129.19,20.00,37.80,1.70,2.23,4.42,16.93,-0.10,83.07,19.53,-0.86,95.59,38.29,110.28,44.35,111.76,43.71,57.18,638.10,0.00,0.15,0.30,0.55,0.85,0.37,1.95,2.27,1.15,0.80,35.00,2.20,-0.51,-1.58,60.38,1.04,45.36,26.58,-0.46,0.45,39.07,7.65,0.65,1.42,-0.68,-0.01,62.50,33.96,27.08,38.13,34.06,34.00,20.90,0.73,-0.49,-0.59,0.91,1.20,1.59,0.00,28.26,0.84,0.65,34.60,-0.10,78.00,0.44,0.16,-0.29,-0.73,No
Donte DiVincenzo,27,NYK 2024,2360,SG,Movement Shooter,Chaser,5.40,1.19,1.02,0.17,4.08,4.80,98.59,25.18,2.00,78.00,220.00,116.69,25.71,83.59,0.76,2.66,1.97,19.00,-0.10,81.00,21.15,0.72,105.09,46.85,110.25,43.40,126.02,47.62,53.58,234.89,5.53,-0.19,-0.03,0.68,0.59,0.84,1.94,-0.30,1.50,1.23,37.96,0.59,-1.00,-0.53,43.65,0.63,70.22,25.53,-0.08,3.18,39.86,3.68,-0.27,-0.41,0.00,-0.07,64.00,36.58,25.80,40.90,37.23,33.33,13.56,0.43,0.18,-0.22,0.74,0.72,1.11,0.00,33.33,0.78,-0.16,39.60,-0.10,70.00,0.59,-0.16,-0.29,-0.73,No
Dorian Finney-Smith,30,BRK 2024,1934,PF,Athletic Finisher,Wing Stopper,1.82,-0.95,-1.17,0.22,4.07,4.45,98.59,23.71,1.00,79.00,206.00,101.23,47.88,82.20,2.02,2.92,0.89,17.15,-0.10,82.85,22.14,0.95,104.09,42.91,110.22,49.67,117.75,58.48,61.10,403.02,1.42,-0.45,-0.36,-0.60,-0.24,-0.89,-1.06,-0.80,-0.95,-1.57,26.92,-0.71,1.87,1.52,26.63,-1.40,65.75,25.06,0.21,-0.44,36.34,2.94,-0.51,-0.74,1.14,0.00,75.00,34.12,43.95,39.26,35.18,33.00,0.00,0.67,-1.02,-0.14,-0.67,0.52,0.73,0.04,53.21,1.60,-0.30,41.50,-0.10,32.00,0.46,-0.81,-0.29,-0.73,No
Doug McDermott,32,IND 2024,904,SF,Off Screen Shooter,Low Activity,-0.26,-2.94,-1.01,-1.94,4.07,4.92,90.68,27.77,5.00,76.00,205.00,91.19,30.00,63.40,0.22,2.52,0.59,12.96,-0.10,87.04,17.73,-2.12,97.29,37.95,110.17,51.51,111.31,52.44,51.76,449.35,1.78,-0.26,-0.19,0.58,0.28,0.63,0.62,-0.93,0.54,1.03,47.83,-0.27,-0.83,-0.37,43.78,0.54,80.63,51.25,-0.27,1.48,39.01,7.94,-0.77,-0.99,0.00,0.00,68.75,34.74,25.47,37.85,34.81,31.13,21.99,2.82,-0.24,-0.81,-0.39,0.71,0.61,0.00,10.00,0.16,-0.21,33.60,-0.10,9.00,0.28,-2.07,-0.29,-0.73,No
