Season,Player,Age,Team(s),Minutes,Offense Position,Offensive Archetype,Defensive Role,LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON,Avg Speed Defense,Avg Speed Offense,Minutes Consistency,True Usage%,Years of Experience,Height,Weight,DHO Coverage Aggression,DHO Coverage Versatility,Defensive Positional Versatility,Foul Trouble%,Fouls Committed / 75,Fouls Drawn / 75,Guarded Ball Dominance%,Guarded O-LEBRON,Guarded Off-Ball%,Guarded USG%,Matchup Difficulty,Off-Ball Coverage Aggression,Off-Ball Coverage Versatility,Overall Coverage Versatility,Overall Coverage Aggression,P&R Coverage Aggression,P&R Coverage Versatility,Shot Location Versatility,Stable Avg 2PT Shot Distance,3PT Foul Rate%,3PT Openness Rating,3PT Pull Up Openness Rating,3PT Pull Up Shot Creation,3PT Pull Up Shot Making,3PT Pull Up Openness Rating,3PT Pull Up Shot Making Efficiency,3PT Shooting Talent,3PT Shot Creation,3PT Shot Making,3PT Shot Making Efficiency,3PT Pull Up%,3PT Pull Up Talent,3PT Pull Up Shot Quality,3PT Pull Up Talent,3PT Pull Up%,3PT Shooting Talent,3PT Shot Creation,3PT Shot Making,3PT Shot Making Efficiency,3PT Shot Quality,3PT Versatility,3PT Versatility Rating,3PTA Rate%,Avg. 3PT Shot Distance,C&S 3PT Openness Rating,C&S 3PT Shooting Talent,Stable C&S 3PT%,Drive Foul Rate,Floater Talent,Midrange Talent,Post Up Shot Making,Total Iso Impact / 75,Cut FG%,Stable ATB 3PT%,Stable Avg 3PT Shot Distance,Stable C&S 3PT%,Stable Corner 3PT%,Stable NonHeave ATB 3PT%,Stable Pull Up 3PT%,Movement Attack Rate%,Off Screen Poss/ 75 Poss,Finishing Talent,Screening Talent,Playmaking Talent,Stable Bad Pass Turnovers Per 75,Stable Non Bad Pass Turnovers Per 75,Post Up Impact / 75 Poss,Contested OReb%,OReb Per Game,Putback Shot Making,% Rim Shots Contested%,Post Defense,Bad Pass Steals,Pickpocket Rating,Defensive Rebounding Talent,Defensive RAPTOR,Offensive RAPTOR
2017-18,Aaron Gordon,22,ORL,1909,PF,Shot Creator,Helper,4,0.83,0.67,0.16,5.54,5.01,,25,12,81,240,102.91,40,63.4,1.2,2.11,3.66,,0.06,,20.16,0.45,93.48,30.85,142.92,16.67,142.92,16.67,23.08,0.42,0,0.07,0,0,-1.22,0.05,-1.78,-0.36,0.38,-0.6,-0.86,21.9,-1.06,-0.78,-1.06,21.9,-0.36,0.38,-0.6,-0.86,-0.13,57.25,0.08,39.54,25.42,0.29,0.4,38.56,9.97,-1.22,-1.07,0.2,-0.13,65.45,35,30.13,37,38,35,33,0,0,-0.79,0,0.54,0.57,1.46,0.04,62.07,1.5,0.34,43.9,0.1,41,0.34,1.05,1.57,0.13
2016-17,Aaron Gordon,21,ORL,2298,SF,Shot Creator,Wing Stopper,4,0.3,0.93,-0.63,5.52,4.83,97.35,35,2,73,195,,,30.9,0.48,2.79,2.73,,0.51,,21.51,1.56,99.46,34.56,140.85,18.33,135.59,16.67,30.77,0.13,0,0.05,0,0,-0.75,0.25,-1.65,-1.19,-0.21,-1.13,-1.88,23.08,-0.9,0.06,-0.9,23.08,-1.19,-0.21,-1.13,-1.88,0.21,46.4,-0.74,30.87,25.28,0.35,-0.93,34.7,10.51,-0.67,-0.54,0.07,0.31,87.88,33.39,27.05,36.13,38.91,34.49,33,13.16,0.57,-0.67,0.38,0.11,0.55,0.96,-0.12,55.17,1.45,0.31,30.6,-0.15,49,0.26,-0.08,-0.28,1.14
2015-16,Aaron Gordon,20,ORL,1863,PF,Athletic Finisher,Helper,4.6,1.31,0.68,0.63,5.49,5.08,,20,1,77,209,,,26.2,1.07,3.07,2.93,,-0.18,,19.02,-0.2,100.48,35.76,138.15,27.33,122.37,16.67,31.87,6.4,0,0.09,0.19,-0.75,-0.08,0.43,-0.33,-0.84,-0.9,-0.5,-1.18,18.18,-0.68,-0.38,-0.68,18.18,-0.84,-0.9,-0.5,-1.18,0.81,24.26,-1.18,24.53,26.1,0.5,-0.74,34.83,8.43,-0.63,-0.77,0.12,-0.14,64.86,34.74,28.15,36.58,38.78,34.77,33,0,0,-0.65,-0.16,-0.38,0.3,1.11,-0.09,73.38,1.97,0.4,37.2,-0.18,33,0.52,1.33,0.05,0.89
2014-15,Aaron Gordon,19,ORL,797,PF,Athletic Finisher,Helper,0.6,-1.18,-1.53,0.34,5.21,4.75,,17.65,6,77,188,,,61.7,2.26,4.01,2.52,,0.04,,19.04,0.03,99.88,37.01,133.07,26.67,122.51,16.67,29.91,1.69,0,-0.07,0,0,0.08,-0.03,0.05,-0.72,-0.83,-0.25,-0.76,50,-0.4,-0.31,-0.4,50,-0.72,-0.83,-0.25,-0.76,1.37,20.83,-1.09,23.08,24.99,0.62,-0.72,34.41,8.7,-0.3,-0.81,-0.18,-0.04,61.54,35.64,28.18,36.84,37.17,35.58,33.22,17.14,0.97,-0.63,-0.08,-0.26,0.54,1.38,-0.22,73.91,0.98,0.34,29.8,-0.13,14,0.33,0.89,-0.01,-1.85
2023-24,Aaron Gordon,28,DEN,2297,PF,Shot Creator,Wing Stopper,5.35,1.26,0.82,0.44,5.2,5.93,,25,1,77,188,,,28.2,0.91,2.31,3.63,17.27,,82.73,22.62,1.24,95.47,34.84,132.11,18.89,102.09,16.67,32.05,3.6,0,0,0,0,-0.36,0.49,-1.11,-1.28,-0.26,-0.81,-2.01,26.83,-0.67,1.41,-0.67,26.83,-1.28,-0.26,-0.81,-2.01,1.87,47.83,-0.83,19.27,25.01,0.7,-1.53,35.82,9.44,-0.75,-1.15,0.46,-0.39,79.14,33.92,26.59,35.26,37.35,34.22,33.56,23.47,0.1,0.01,1.34,0.36,0.46,1.27,0.09,71.26,2.38,0.16,34.3,,41,0.24,-0.19,,
2013-14,Aaron Gray,29,TOR/SAC,354,C,Post Scorer,Mobile Big,0,-2.25,-2.85,0.59,5.19,5.36,99.87,10,1,75,190,,,48.5,5.08,6.89,1.72,,-0.63,,18.69,-1.06,96.7,34.53,132.01,20,,,15.38,1.28,0,0,0,0,0,0,0,-0.84,-1.33,-0.02,-0.28,0,0,0,0,0,-0.84,-1.33,-0.02,-0.28,0,12.5,-1.17,1.64,25.7,0,-1,37.85,0,-0.44,-0.78,-0.57,0,44.44,35.38,25.81,38.41,39.91,36.13,33,14.85,0.16,-0.77,-0.11,-0.65,0.76,2.05,-1.16,64.29,1.14,0.25,37.6,0.74,7,0.32,-0.42,0.75,-3.38
2017-18,Aaron Harrison,23,DAL,233,SG,Movement Shooter,Chaser,0,-2.25,-1.55,-0.7,5.18,6.81,91.28,20,0,82,218,,,20,0,4.32,2.08,,-0.19,,19.25,-0.29,118.16,52.86,131.34,19.17,115.95,16.67,31.47,4.68,0,0.11,0,0,-0.2,0.09,-0.4,-0.98,-0.36,-1.03,-1.52,16.67,-0.52,0.53,-0.52,16.67,-0.98,-0.36,-1.03,-1.52,1.03,31.69,-1.14,62.32,25.03,0.13,-0.64,35.96,0,-0.82,-0.7,0,0,0,36.25,25.92,38.3,39.61,36.23,34.22,20.62,0.18,-0.68,-0.66,-0.39,0.39,0.91,0,25,0.44,0.2,25.4,-0.06,5,0.64,0.05,-3.74,-2.92
2016-17,Aaron Harrison,22,CHO,17,SG,Low Minute,Wing Stopper,0,-1.62,-1.59,-0.03,5.16,4.03,87.39,33.33,1,80,215,,,36.9,0,4.62,2.34,,-0.15,,19.35,-0.71,147.35,20,131.15,33.06,102.59,16.67,54.66,11.13,0,0.26,0,0,0,0,0,-0.55,-0.99,-0.02,-0.29,0,0,0,0,0,-0.55,-0.99,-0.02,-0.29,0.01,12.5,-1.12,50,23.95,-0.03,-1,36.72,0,0,-0.59,0,0,0,35.63,26.85,37.16,38.2,35.67,33.89,0,0,-0.46,1,-0.01,0.7,1.23,0,0,0,0,100,-1.6,,0,-1.88,-5.82,-8.06
2015-16,Aaron Harrison,21,CHO,93,SG,Low Minute,Low Activity,0,-1.9,-1.71,-0.19,5.11,5.43,,33.33,2,78,200,,,71.5,0,3.7,2.97,,-0.4,,18.27,-1.57,133.74,34.55,130.42,30,,,44.62,16.61,0,-0.06,0.03,-0.72,0,0,0,-0.29,-0.67,-0.02,-0.19,0,0,0,0,0,-0.29,-0.67,-0.02,-0.19,0.58,25,-0.66,52.63,25.1,0.17,-0.46,36.74,27.27,0,-0.88,0,0,0,34.49,34.56,36.86,38,35,32.68,30.6,0.04,-0.81,0.33,-0.23,0.47,1.39,0,25,0.19,0.52,20,-0.24,5,0.37,-1.49,1.03,-5.96
2021-22,Aaron Henry,22,PHI,17,SF,Low Minute,Chaser,0,-1.15,-0.54,-0.61,5.09,4.42,97.03,30.77,1,79,205,,,32.3,0,4.05,0,,-0.14,,17.25,-0.63,96.08,35,129.96,18.33,135.28,16.67,15.38,0.14,0,0.07,0,0,-0.01,-0.02,-0.3,-0.86,-1.14,-0.01,-0.13,0,-0.7,0.33,-0.7,0,-0.86,-1.14,-0.01,-0.13,0.18,12.5,-1.13,20,25,0,0,36,0,-0.53,-0.53,0,0,0,34.87,29.06,37.85,39,36,33,40,0.07,-0.7,1.88,,0.9,1.28,0,0,0,0,62.5,-1.28,,0,-1.86,-1.15,-0.25
2022-23,Aaron Holiday,26,ATL,845,PG,Secondary Ball Handler,Point of Attack,0.8,-0.91,-1.32,0.42,5.08,4.65,,31.25,1,74,200,,,48.8,2.01,3.37,2.13,24.64,0.16,75.36,21.51,0.77,106.6,46.19,129.37,33.06,121.43,16.67,29.91,2.76,0,0,0.1,-0.52,-0.07,0.23,-0.44,-0.16,-0.12,0.09,0.16,34.62,-0.2,1.46,-0.2,34.62,-0.16,-0.12,0.09,0.16,1.08,41.19,0.03,40,25.62,0.19,-0.31,38.26,3.27,-0.25,-0.57,0,0.26,42.86,34.74,29.26,36.86,39,34.88,32.89,39.28,0.06,-1,2.31,-0.36,0.72,0.95,0,40,0.4,0.31,33.3,0.03,15,0.94,-1.16,2.61,-1.37
