Season,Player,Age,Team(s),Minutes,Offense Position,Offensive Archetype,Defensive Role,LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON,Avg Speed Defense,Avg Speed Offense,Minutes Consistency,True Usage%,Years of Experience,Height,Weight,DHO Coverage Aggression,DHO Coverage Versatility,Defensive Positional Versatility,Foul Trouble%,Fouls Committed / 75,Fouls Drawn / 75,Guarded Ball Dominance%,Guarded O-LEBRON,Guarded Off-Ball%,Guarded USG%,Matchup Difficulty,Off-Ball Coverage Aggression,Off-Ball Coverage Versatility,Overall Coverage Versatility,Overall Coverage Aggression,P&R Coverage Aggression,P&R Coverage Versatility,Shot Location Versatility,Stable Avg 2PT Shot Distance,3PT Foul Rate%,3PT Openness Rating,3PT Pull Up Openness Rating,3PT Pull Up Shot Creation,3PT Pull Up Shot Making,3PT Pull Up Openness Rating,3PT Pull Up Shot Making Efficiency,3PT Shooting Talent,3PT Shot Creation,3PT Shot Making,3PT Shot Making Efficiency,3PT Pull Up%,3PT Pull Up Talent,3PT Pull Up Shot Quality,3PT Pull Up Talent,3PT Pull Up%,3PT Shooting Talent,3PT Shot Creation,3PT Shot Making,3PT Shot Making Efficiency,3PT Shot Quality,3PT Versatility,3PT Versatility Rating,3PTA Rate%,Avg. 3PT Shot Distance,C&S 3PT Openness Rating,C&S 3PT Shooting Talent,Stable C&S 3PT%,Drive Foul Rate,Floater Talent,Midrange Talent,Post Up Shot Making,Total Iso Impact / 75,Cut FG%,Stable ATB 3PT%,Stable Avg 3PT Shot Distance,Stable C&S 3PT%,Stable Corner 3PT%,Stable NonHeave ATB 3PT%,Stable Pull Up 3PT%,Movement Attack Rate%,Off Screen Poss/ 75 Poss,Finishing Talent,Screening Talent,Playmaking Talent,Stable Bad Pass Turnovers Per 75,Stable Non Bad Pass Turnovers Per 75,Post Up Impact / 75 Poss,Contested OReb%,OReb Per Game,Putback Shot Making,% Rim Shots Contested%,Post Defense,Bad Pass Steals,Pickpocket Rating,Defensive Rebounding Talent,Defensive RAPTOR,Offensive RAPTOR
2014-15,David Wear,24,SAC,7,PF,Low Minute,Helper,0,-0.24,-0.37,0.13,4.11,4.73,99.77,32.6,10,75,200,113.49,30.67,66.9,0,5.56,0,,-0.13,,19.56,0.23,83,20,111.41,49.61,116.43,44.98,49.34,781.27,0.55,-0.13,0.12,1.17,0,0,0,-0.65,-0.96,-0.01,-0.03,0,0,0,0,0,-0.65,-0.96,-0.01,-0.03,0.16,12.5,-1.05,50,25,0.01,-1.16,35.86,0,0,0,0,0,0,36.87,25.59,37.83,37.77,36.7,32.88,23.23,2.07,-0.83,-0.71,-0.17,0.75,1.36,0,50,1,-1.05,,-1.28,,0,-2.03,-7.59,0.04
2017-18,David West,37,GSW,999,C,Post Scorer,Mobile Big,2.4,1.35,-0.25,1.6,4.11,5.33,100.96,26.55,7,79,225,117.54,32,73.4,0.3,4.58,3.13,,-0.13,,19.58,-0.01,93.01,32.62,111.4,57.71,114.88,77.54,53.85,17.31,0,0.09,-0.01,-1.11,0.04,0.05,-0.03,-0.76,-0.68,0,-0.17,50,-0.54,-0.23,-0.54,50,-0.76,-0.68,0,-0.17,-0.22,21.88,-0.81,2.12,25.64,0.41,-1.09,37.89,5,-0.32,0.35,0.34,0.07,76.56,33.28,24.8,36.78,39.4,33.43,32.22,9.09,0.54,-0.57,0.98,0.84,1.1,1.77,-0.1,65.63,0.88,0.29,38.6,0.33,37,0.38,-0.26,3.58,-1.88
2016-17,David West,36,GSW,854,C,Post Scorer,Mobile Big,1.3,-0.07,-1.22,1.15,4.11,4.48,87.83,34.61,5,73,180,114.84,40,57.5,0.23,4.71,3.27,,-0.51,,18.86,-0.73,94.83,35.17,111.4,49.27,109.85,43.86,42.08,105.62,0,0.1,-0.02,-0.6,-0.03,0,-0.39,-0.7,-0.88,0.03,-0.06,0,-0.54,-0.33,-0.54,0,-0.7,-0.88,0.03,-0.06,0.05,23.21,-0.64,3.17,29.4,0.15,-0.96,37.15,4.76,-0.67,-0.14,0.4,-0.09,64.58,34.51,41.51,38.5,40.11,35.47,32.57,16.33,0.89,-0.7,-0.13,1.03,1.19,1.98,-0.34,61.7,0.69,0.28,39.3,0.6,24,0.81,-0.3,5.05,-1.78
2015-16,David West,35,SAS,1404,PF,Post Scorer,Anchor Big,3.5,1.34,-0.27,1.61,4.11,4.71,93.02,32.36,1,76,175,113.49,36,68.2,0.14,3.88,2.62,,-0.46,,18.93,-0.59,94.99,32.44,111.38,45.92,107.86,39.46,40.82,286.99,0,0.6,0.48,-1.15,0.02,-0.02,-0.12,-0.55,-0.87,0.13,0.2,0,-0.48,0.19,-0.48,0,-0.55,-0.87,0.13,0.2,-0.06,27.5,-0.38,1.56,24.51,0.24,-0.81,37.43,9.76,-0.72,0.45,0.42,-0.08,58.9,34.29,26.1,35.43,38.6,34.35,33.64,19.57,1.57,-0.83,-0.13,0.43,0.69,1.21,0.68,70.83,0.92,0.77,40.6,0.23,33,0.3,-0.17,2.68,0.24
2014-15,David West,34,IND,1896,PF,Post Scorer,Helper,4.3,1.05,-0.61,1.65,4.11,4.75,97.62,23.9,1,79,225,86.13,30,62.6,1.74,3.26,3.14,,-0.06,,19.87,0.25,99.15,35.58,111.37,45.02,119.01,32.22,56.09,954.05,2.66,-0.58,-0.28,1.05,-0.01,0.02,-0.18,-0.86,-0.92,-0.14,-0.61,0,-0.57,0.31,-0.57,0,-0.86,-0.92,-0.14,-0.61,0.43,25,-0.85,2.92,25.27,0.16,-0.99,34.98,4.62,-0.43,1.1,0.22,-0.24,57.69,34.44,25.17,34.65,34.56,34.48,30.85,20.76,1.54,-1.29,-0.46,0.29,0.92,1.49,-0.42,63.89,1.64,0.27,32.5,-0.19,20,0.57,0.72,0.29,-1.4
2013-14,David West,33,IND,2472,PF,Post Scorer,Anchor Big,6.5,1.61,0.08,1.53,4.11,4.67,89.47,24.59,6,78,219,109.77,60,77,0.32,2.94,3.61,,-0.13,,20.07,0.23,95.69,32.84,111.37,47.87,115.88,49.1,60.36,222.76,0,0.22,0.23,-0.1,-0.04,-0.1,-0.32,-0.71,-0.77,-0.04,-0.29,0,-0.68,-0.77,-0.68,0,-0.71,-0.77,-0.04,-0.29,-1.12,30.36,-0.48,1.6,25.83,-0.05,-0.87,37.7,8.33,0.44,1.38,0.4,0.04,51.72,33.52,26.03,36.35,39.53,33.98,32.6,4.18,0.31,-0.47,-0.3,0.42,0.68,1.43,0.52,60.83,1.5,0.11,32.8,0.69,31,0.48,0.39,1.54,0.62
2022-23,Davion Mitchell,24,SAC,1447,PG,Primary Ball Handler,Point of Attack,0.6,-1.78,-1.37,-0.41,4.11,4.75,97.17,21.81,3,78,215,112.05,43.53,69.6,0.76,2.81,2.36,25.09,0.46,74.91,22.69,1.58,112.81,51.61,111.37,43.63,122.51,36.67,61.99,104.3,0,0.18,0.07,-0.98,-0.45,0.41,-1.47,-0.69,0.17,-0.65,-1.75,26.23,-0.42,2.36,-0.42,26.23,-0.69,0.17,-0.65,-1.75,2.25,38.27,-1.03,49.37,25.54,0.38,-0.63,36.16,1.61,-0.47,-0.16,0,-0.06,66.67,32.93,48.01,33.76,35.93,33.2,31.43,6.85,0.56,-0.47,-1.06,0.09,0.74,0.93,0,18.75,0.2,-0.48,33.8,-0.17,28,0.4,-1.37,2.36,-2.17
2021-22,Davion Mitchell,23,SAC,2076,PG,Primary Ball Handler,Point of Attack,0.3,-2.15,-1.46,-0.69,4.11,4.45,,21.25,7,75,195,122.91,25.63,75,1.4,2.48,1.93,,0.25,,20.57,0.95,107.7,50.04,111.37,48.55,114,40.26,43.35,544.99,0,0.16,0.23,-1.15,-0.7,0.3,-1.4,-0.92,0.71,-0.98,-1.74,28.37,-0.4,1.76,-0.4,28.37,-0.92,0.71,-0.98,-1.74,1.18,50.16,-0.63,37.96,25.76,0.19,-1.07,34.7,1.95,-0.36,0.16,0,-0.39,50,34.41,26.09,36.27,38.97,34.58,31.9,7.49,0.93,-0.24,-0.38,0.72,0.97,1.05,0,15.15,0.44,0.25,31,-0.12,29,0.46,-1.37,-2.15,0.28
2023-24,Davion Mitchell,25,SAC,1101,PG,Secondary Ball Handler,Point of Attack,0.06,-2.38,-1.67,-0.71,4.11,4.9,,26.61,1,77,205,119.57,31.43,80.9,0.73,2.87,1.69,22.47,,77.53,21.48,0.68,104.85,48.73,111.36,25,115.95,16.67,17.95,7.12,33.33,-0.08,0.01,-0.84,-0.11,0.46,-0.68,-0.42,-0.24,-0.29,-0.99,32.35,-0.32,2.24,-0.32,32.35,-0.42,-0.24,-0.29,-0.99,1.61,34.04,-0.84,48.92,25.29,0.38,-0.22,37.71,2.6,-0.25,-0.38,0,-0.16,77.78,35.86,25.67,38.42,40.97,36.03,34.14,11,1.06,-0.39,-0.38,0.29,0.53,1.01,0,15.79,0.26,-0.01,30.5,,12,0.17,-1.06,,
2022-23,D?vis Bert?ns,30,DAL,492,PF,Off Screen Shooter,Helper,0.3,-1.57,-0.28,-1.28,4.11,4.57,,22.75,3,81,260,90.71,34.81,57.3,0.2,3.96,2.02,12.08,-0.73,87.92,17.94,-1.55,106.65,48.78,111.36,43.72,115.34,37.65,49.65,108.9,0,0.08,-0.04,0.39,0.05,-0.17,-0.07,0.7,-0.73,0.35,0.83,38.46,-0.37,-0.55,-0.37,38.46,0.7,-0.73,0.35,0.83,-1.4,45.41,0.5,88.13,26.02,-0.42,1.73,37.52,0,-0.64,-0.77,0,0,60,34.67,38.76,37.52,38.73,35.65,32.9,5.8,0.48,-0.58,-0.55,-0.37,0.51,0.7,0,30,0.22,-0.83,41.1,-0.02,7,0.3,-1.68,-0.89,-0.31
2021-22,D?vis Bert?ns,29,WAS/DAL,806,PF,Off Screen Shooter,Anchor Big,0.9,-0.59,-0.2,-0.39,4.11,5.02,,26.48,6,79,225,113.2,50,70.6,2.48,3.94,1.81,,-0.52,,16.99,-1.06,102.09,40,111.36,41.89,110.82,35.58,66.38,401.29,0.97,0.39,0.19,0.08,0.11,-0.11,0.17,0.55,-0.9,0.21,0.3,34.78,-0.42,-2.36,-0.42,34.78,0.55,-0.9,0.21,0.3,-2.28,48.25,0.32,83.64,52.54,-0.52,1.69,34.82,2.04,-0.72,-0.94,0,0,66.67,34.33,25.93,36.46,39.48,34.38,33.22,6.67,0.27,-0.47,-0.48,0.42,0.51,0.65,0,41.67,0.21,1.12,42.5,0.04,10,0.32,-0.87,-0.59,-1.48
2020-21,D?vis Bert?ns,28,WAS,1464,PF,Off Screen Shooter,Low Activity,2.3,0.07,0.96,-0.89,4.11,4.89,,22.4,4,85,245,89.01,32.73,53.5,1.98,3.22,1.8,,-0.34,,18.22,-0.54,106.14,48.32,111.36,42.58,108.57,28.57,42.49,4.67,0,-0.18,-0.04,-1.51,0,-0.4,-0.27,2.02,-0.76,1.76,1.79,28.21,-0.42,-2.35,-0.42,28.21,2.02,-0.76,1.76,1.79,-2.69,50.5,1.14,89.54,26.86,-0.56,3.61,39.69,5.56,-0.76,-0.95,1.02,-0.04,75,33.57,25.7,36.42,38.65,33.68,30.51,11.87,0.55,0.28,-0.98,-0.22,0.26,0.68,0.02,50,0.32,0.46,34.9,-0.06,23,0.24,-1.29,-0.68,1.91
2019-20,D?vis Bert?ns,27,WAS,1583,PF,Off Screen Shooter,Helper,2.4,-0.05,1.06,-1.11,4.11,4.43,,20.28,8,78,232,110.96,49.57,80.5,2.84,3.05,2.83,,-0.33,,17.93,-0.6,106.72,47.85,111.35,45.61,111.46,40.56,58.31,985.63,0.6,-0.38,-0.2,0.3,0.86,-0.24,1.28,3.72,-0.38,3.22,2.97,40,0.83,-2.87,0.83,40,3.72,-0.38,3.22,2.97,-2.56,53.58,1.79,77.38,26.67,-0.68,4.85,40.67,0.96,-0.78,-0.69,-0.86,-0.03,69.23,33.48,44.02,34.74,38.85,33.52,31.73,8.52,0.23,-0.76,0.85,0.38,0.66,0.75,0,37.14,0.65,0.71,44.9,0.05,29,0.18,-0.62,-0.63,2.83
2018-19,D?vis Bert?ns,26,SAS,1632,PF,Movement Shooter,Helper,4.3,1.64,1.02,0.63,4.11,4.64,,24.49,4,84,221,92.14,37.2,59.4,1.16,2.96,1.51,,-0.24,,18.83,-0.43,111.76,54.72,111.34,36.96,116.09,31.25,44.87,24.49,0,-0.01,-0.05,-0.64,0.19,0.02,0.25,1.71,-0.8,1.68,2.44,35.71,-0.23,-0.93,-0.23,35.71,1.71,-0.8,1.68,2.44,-1.45,41.99,1.14,74.61,26.13,-0.27,2.84,40.68,3.06,-0.31,-0.47,0,0.01,63.16,33.11,47.53,36.01,37.91,33.33,31.28,11.51,0.65,0.34,-0.09,-0.57,0.41,0.69,0,30.43,0.3,0.71,38.1,-0.1,26,0.2,-0.06,1.22,2.27
2017-18,D?vis Bert?ns,25,SAS,1086,PF,Movement Shooter,Helper,2.5,1.09,0.64,0.45,4.11,4.61,98.46,33.2,4,78,195,109.73,33.33,66.5,2.12,3.22,1.77,,-0.33,,18.3,-0.75,106.65,46.08,111.34,48.99,114.07,50,64.1,248.79,5.06,-0.17,-0.18,-0.74,-0.34,0.02,-1.28,0.67,-0.84,0.42,0.71,4.35,-0.89,-2,-0.89,4.35,0.67,-0.84,0.42,0.71,-1.56,33.6,0.04,68.85,25.77,-0.17,1.85,39.3,1.04,-0.27,-0.44,3.21,-0.05,66.67,35,28.09,37,39,35,33,0,0,-0.49,1.33,-0.01,0.67,0.76,0.05,66.67,0.23,0.18,41.4,-0.02,22,0.14,-1.16,1.8,0.79
2016-17,D?vis Bert?ns,24,SAS,807,PF,Movement Shooter,Helper,0.6,-1.19,-0.63,-0.55,4.11,4.68,100.64,31.1,1,83,234,88.08,31.69,69,0.5,3.48,1.72,,-0.69,,18.33,-1.17,104.9,42.38,111.33,46.62,119.85,50.89,48.71,794.68,0.24,0,0.18,0.83,0,0.04,-0.31,0.69,-0.62,0.48,0.98,30.77,-0.41,-0.07,-0.41,30.77,0.69,-0.62,0.48,0.98,-0.89,34.58,0.28,73.93,25.19,-0.1,1.49,38.56,5.43,-0.73,-0.89,-0.89,0,81.82,35,27.26,37,38,35,31,0,0,-0.7,0.37,0.12,0.62,0.99,0,54.55,0.33,0.25,40.7,0,17,0.14,-1.46,0.45,1.09
2023-24,D?vis Bert?ns,31,OKC/CHO,674,PF,Off Screen Shooter,Low Activity,0.57,-1.12,-0.75,-0.37,4.11,4.68,91.51,23.02,2,82,225,82.3,20,60,0.15,3.12,1.45,11.99,,88.01,17.02,-1.91,100.8,46.8,111.33,52.22,123.96,72.31,37.3,216.6,0,0.41,0.15,-0.55,-0.05,-0.03,-0.51,0.9,-0.67,0.58,0.94,26.92,-0.41,-2.02,-0.41,26.92,0.9,-0.67,0.58,0.94,-2.05,53.58,0.85,85.47,51.63,-0.73,2.11,38.5,3.7,-0.69,-0.87,0,0.11,70,34.62,47.7,37.05,37.38,35.37,32.32,4.52,0.26,-0.25,0.15,0.36,0.49,0.78,0,55.56,0.21,-0.36,35.1,,16,0.56,-1.54,,
2022-23,Davon Reed,27,DEN/LAL,342,SG,Movement Shooter,Wing Stopper,-0.1,-2.75,-2.68,-0.07,4.11,4.43,96.61,32.61,7,78,214,112.54,54.29,60.2,0,4.11,1.58,16.44,-0.33,83.56,19.7,-0.43,107.06,47.1,111.33,50.01,118.59,53.33,55.04,"1,269.64",3.63,-0.4,-0.29,0.39,0.08,-0.1,0.14,-0.32,-0.84,-0.01,-0.22,66.67,-0.44,-0.32,-0.44,66.67,-0.32,-0.84,-0.01,-0.22,0.62,34.78,-0.38,54.76,51.27,-0.09,-0.23,36.52,14.55,-0.51,-0.47,-0.7,0.34,40,36.66,46.92,38.01,39.69,36.6,34.6,1.79,0.05,0.54,0.66,-0.86,0.73,1.35,0,30,0.23,-0.58,33.1,-0.02,10,0.52,-0.36,0.09,-5.55
2021-22,Davon Reed,26,DEN,668,SG,Movement Shooter,Wing Stopper,0.6,-1.04,-1.21,0.16,4.11,4.95,94.85,29.87,1,77,186,117.47,26.67,65,0.9,3.48,0.72,,-0.09,,19.36,0.11,103.87,43.4,111.32,41.48,118.95,32.46,54.45,66.71,2.63,-0.43,-0.29,0.44,0.06,0.09,-0.02,0.04,-0.59,0.32,0.8,35.29,-0.3,-0.89,-0.3,35.29,0.04,-0.59,0.32,0.8,0.2,37.5,0.2,53.42,25.49,-0.07,0.12,37.99,1.82,-0.4,-0.12,0,0.02,66.67,34.28,26.24,37.45,38.45,34.34,32.49,2.15,0.07,0.51,0.11,-0.68,0.32,0.85,0,35.71,0.29,0.4,39.5,-0.11,15,0.49,-0.44,-1.04,0.03
2018-19,Davon Reed,23,IND,47,SG,Low Minute,Chaser,0,-1.69,-1.47,-0.22,4.11,4.74,95.98,24.38,2,75,190,121.79,25,60.7,0,2.14,0.71,,-0.27,,19.15,-0.94,84.07,20,111.32,48.47,118.35,53.15,48.17,"2,125.52",5.65,-0.57,-0.39,-0.32,0,0,0,-0.6,-1.06,0.02,0.04,0,0,0,0,0,-0.6,-1.06,0.02,0.04,0.31,18.75,-0.86,33.33,25.88,-0.02,-0.86,37.2,0,-0.55,-0.61,0,0,0,35.95,26.79,36.15,36.47,35.97,34.22,2.72,0.03,0.24,0.76,-0.24,0.74,1.09,0,50,0.2,0.9,35,-1.28,,0.71,-1.66,-1.03,-1.68
2017-18,Davon Reed,22,PHO,242,SG,Off Screen Shooter,Low Activity,0.1,-1.54,-1.91,0.38,4.11,5,91.66,25.08,2,79,220,103.65,40,71.8,0,2.52,1.49,,-0.37,,18.26,-1.16,103.96,41.33,111.32,47.01,125.97,38.24,55.87,240.26,1.35,-0.25,0.19,1.88,-0.17,0.12,-0.65,-0.28,-0.36,-0.22,-0.82,0,-0.45,0.78,-0.45,0,-0.28,-0.36,-0.22,-0.82,0.71,44.08,-0.36,50,25.54,-0.03,-0.12,37.73,9.68,-0.27,-0.6,0,0,0,35.63,25.21,36.06,36,36.36,34.09,5.29,0.21,0.71,0.66,0.37,0.47,1.27,0,0,0.1,0.89,40,-0.41,7,0.45,-0.5,-0.53,-8.27
2022-23,Day'Ron Sharpe,21,BRK,553,C,Roll + Cut Big,Mobile Big,0.5,-1.08,-0.71,-0.37,4.11,4.89,101.18,47.04,4,76,185,111.62,41.54,59.2,6.52,5.8,2.87,12.88,-0.29,87.12,18.72,-0.66,102.2,40.19,111.32,40.77,111.45,31.98,49.62,70.7,0,0.09,0.12,-1.31,0.02,0.06,-0.17,-0.7,-0.94,0.09,0.25,100,-0.57,-0.13,-0.57,100,-0.7,-0.94,0.09,0.25,-0.5,21.59,-0.59,6.43,25.26,0.43,-0.99,37.48,9.09,-0.85,-0.9,-0.41,0.02,63.41,34.57,25.14,38.03,39.92,34.7,32.2,4.12,0.12,-0.11,0.04,-0.85,0.66,1.81,-0.51,78.57,2.04,-0.03,37.8,0.04,10,0.33,-0.11,-4.92,-1.93
2021-22,Day'Ron Sharpe,20,BRK,391,PF,Roll + Cut Big,Mobile Big,0.5,-0.43,0.27,-0.7,4.11,4.81,96.88,21.93,9,82,231,101.74,46.46,58.6,7.17,5.66,3.21,,0.18,,19.56,0.59,97.59,40.7,111.31,43.6,115.15,42.03,37.67,94.49,0,0.64,0.1,-1.74,0,0,0,-0.94,-1.17,0,-0.18,0,0,0,0,0,-0.94,-1.17,0,-0.18,0.35,12.5,-1.16,4.7,25.34,0.52,-1.19,35.81,0,-0.64,-0.65,0.83,-0.24,70,34.34,25.29,36.98,39.33,34.56,31.69,5.93,0.07,0.89,-0.39,-0.93,0.55,1.85,0.45,81.48,2.53,0.03,39.8,0.67,8,0.19,-0.2,-0.43,1.09
2023-24,Day'Ron Sharpe,22,BRK,921,C,Roll + Cut Big,Mobile Big,1.77,0.61,0.02,0.59,4.11,4.66,101.63,33.92,3,78,195,110.56,36.3,65.4,4.56,5.31,4.29,12.25,,87.75,19.2,-0.92,95.4,34.31,111.3,38.13,115.65,42,40.98,369.18,1.18,0.37,0.22,-0.12,0,0,0,-0.98,-1.12,-0.1,-0.57,0,0,0,0,0,-0.98,-1.12,-0.1,-0.57,0.51,14.17,-1.36,5.1,24.97,0.65,-1.22,37.38,3.7,-0.84,-0.74,0.63,-0.07,44.62,33.07,45.09,36.18,38.67,33.24,30.38,7.5,0.13,0.01,1.87,-0.39,0.94,1.71,0.01,71.43,2.64,0.11,43.9,,16,0.32,1.02,,
2022-23,De'Aaron Fox,25,SAC,2435,PG,Shot Creator,Point of Attack,7,2.08,2.96,-0.88,4.11,4.71,97.01,21.05,1,77,215,115.37,35.65,70.2,1.31,2.53,5.04,23.71,0.31,76.29,21.55,1.06,103.01,45.88,111.3,38.38,128.19,35.29,35.53,39.82,0,0.16,0.21,-0.19,-1,-0.02,-1.56,-0.76,1.02,-0.96,-1.42,30.1,-0.61,1.18,-0.61,30.1,-0.76,1.02,-0.96,-1.42,0.54,60.57,-0.11,27.57,25.51,-0.04,-0.93,35.96,10.1,4.2,3.25,0.82,0.38,55.56,33.57,25.95,36.58,38.53,33.77,32,6.38,0.27,0,-0.86,1.09,0.99,1.6,0.1,27.5,0.55,0.66,33.3,-0.23,42,0.61,-0.14,-1.49,4.49
2021-22,De'Aaron Fox,24,SAC,2084,PG,Shot Creator,Point of Attack,1.9,-0.96,1.15,-2.11,4.11,4.68,97.97,21.29,3,77,210,121.42,40,60.4,0.34,2.96,4.9,,0.34,,20.49,1.07,106.79,52.74,111.29,44.35,112.35,45.6,62.35,126.05,2.99,-0.3,-0.17,-0.82,-1.52,-0.03,-2.14,-1.16,1.07,-1.15,-1.79,27.1,-1.32,1.42,-1.32,27.1,-1.16,1.07,-1.15,-1.79,0.58,61.59,-0.26,22.8,25.39,0.09,-1.15,35.8,9.81,2.94,2.17,0.05,0.39,85.71,35.35,28.43,37.06,38.57,35.31,34,0,0,-0.73,0.18,0.97,1.26,1.55,-0.02,20,0.42,0.3,35.8,-0.19,32,0.62,-0.68,-0.96,-2.58
2020-21,De'Aaron Fox,23,SAC,2036,PG,Shot Creator,Point of Attack,4.6,1.08,2.44,-1.35,4.11,4.4,98.39,28.18,1,76,205,116.09,28,61.8,2.55,3,5.62,,0.43,,20.59,1.18,103.73,47.79,111.29,42.71,115.3,42.4,64.47,842.34,2.05,-0.37,-0.11,0.75,-1.17,-0.05,-1.65,-0.46,1.75,-0.83,-1.29,30.04,-0.48,1.24,-0.48,30.04,-0.46,1.75,-0.83,-1.29,0.24,60.7,-0.05,28.83,25.55,0.03,-0.89,38.34,11.35,3.48,2.2,0.36,-0.1,50,34.13,47.22,37.09,40.1,34.29,33.55,4.64,0.15,-0.61,-0.97,1.2,1.15,1.8,0.05,27.27,0.57,0.19,36.9,-0.17,48,0.69,-0.68,-2.67,3.17
2019-20,De'Aaron Fox,22,SAC,1634,PG,Shot Creator,Point of Attack,3.7,1.06,2.17,-1.11,4.11,4.86,83.05,28.44,1,80,230,126.07,20,65.6,1.9,3.18,6.21,,0.34,,20.35,0.96,99.33,41.49,111.29,45.15,124.51,53.79,56.71,314,0,0.35,0.28,0.34,-1.08,0.3,-1.87,-1.07,0.84,-1.05,-1.88,26.73,-0.86,2.4,-0.86,26.73,-1.07,0.84,-1.05,-1.88,1.25,59.07,-0.46,22.7,25.39,0.18,-1.16,36.18,10.41,0.85,1.75,1.11,0.11,50,34.09,26.43,37.3,38.15,34.75,31.35,4.07,0.1,-0.59,-0.74,1.09,1.47,1.83,0.01,40,0.69,1.45,34.5,0,41,0.73,-0.44,-2.02,2.46
2018-19,De'Aaron Fox,21,SAC,2546,PG,Slasher,Point of Attack,5,0.66,0.89,-0.23,4.11,4.81,86.96,21.55,2,79,218,,,54.4,1.41,2.78,5.11,,0.41,,20.94,1.15,101.04,41.72,111.29,44.9,112.76,43.33,52.42,53.15,0,0.39,0.29,-0.68,-0.15,0.32,-0.45,-0.02,0.98,0.03,-0.14,35.21,0.11,1.78,0.11,35.21,-0.02,0.98,0.03,-0.14,0.67,67.15,0.71,21.05,25.26,0.29,-0.65,37.88,9.09,0.85,0.54,1.96,-0.15,66.67,33.89,46.67,38.21,40,34.16,32.32,8.36,0.37,-0.19,0.05,1.7,1.5,1.52,0.03,27.91,0.53,-0.22,40.2,-0.2,78,0.75,-0.41,-0.11,1.85
2017-18,De'Aaron Fox,20,SAC,2026,PG,Slasher,Point of Attack,-0.9,-2.97,-1.97,-1,4.11,4.36,94.88,30.42,2,76,198,118.32,51.58,50.8,1.43,3.01,3.62,,0.31,,20.64,0.87,97.81,35.06,111.29,48.46,119.71,61.11,40,2.24,0,-0.02,0,0,-0.22,0.2,-0.56,-0.77,0.53,-0.58,-1.39,31.88,-0.11,0.97,-0.11,31.88,-0.77,0.53,-0.58,-1.39,0.83,51.59,-0.39,19.2,25.61,0.36,-1.18,36.3,5.54,0.66,-0.18,0,0.04,68.18,35.71,28.06,37.24,38.36,35.74,34,0,0,-0.78,-0.12,0.42,1.34,1.74,0,45.45,0.45,0.31,33.5,-0.27,35,0.65,-0.67,-1.98,-2.36
2023-24,De'Aaron Fox,26,SAC,2659,PG,Shot Creator,Point of Attack,9.15,3.05,2.64,0.41,4.11,4.48,89.59,22.06,0,78,220,,,67.1,1.69,2.63,4.54,20.79,,79.21,20.49,0.14,100.5,43.46,111.28,42.71,113.65,34.36,44.66,523.94,9.7,-0.75,-0.37,3.58,0.63,-0.05,0.25,1.2,1.62,0.65,0.4,35.61,1.51,0.56,1.51,35.61,1.2,1.62,0.65,0.4,-0.46,65.32,1.02,37.44,25.85,-0.15,-0.14,38.53,8.89,2.35,1.73,0.69,0.21,78.95,33.87,28.49,35.97,37.79,34.87,32.79,57.89,0.49,-0.29,0.1,0.87,1.11,1.48,0.07,35.82,0.91,0.38,33.8,,65,1.17,-0.28,,
2022-23,De'Andre Hunter,25,ATL,2126,SF,Movement Shooter,Wing Stopper,1,-1.71,-1.24,-0.47,4.11,4.49,93.21,20.08,5,83,249,97.51,45.64,34.6,1.51,3.34,3.64,17.93,0.3,82.07,22.32,1.21,111.21,55.2,111.28,49.56,120.82,36.67,36.59,93.56,0,0.07,0,0,0.05,0.3,-0.12,-0.76,-0.55,-0.53,-0.94,38.89,-0.29,1.76,-0.29,38.89,-0.76,-0.55,-0.53,-0.94,1.22,33.03,-0.8,34.79,24.67,-0.01,-0.65,35.5,9.65,0.42,1.23,0.49,0.09,65.52,35.58,28.09,37.57,39,35.62,33.99,0,0,-0.11,-0.3,-0.38,0.33,1.1,0.01,36.96,0.69,0.06,35.5,-0.03,26,0.15,-0.46,-0.69,-1.44
2021-22,De'Andre Hunter,24,ATL,1577,SF,Shot Creator,Point of Attack,0.8,-1.6,-1.77,0.17,4.11,4.75,92.71,21.23,4,79,205,126.07,20,51.4,2.09,3.61,3.56,,0.66,,22.26,2.02,103.6,43.3,111.28,45.1,107.92,51.17,50.96,733.72,1.81,-0.24,-0.05,1.61,-0.11,0.02,-0.44,-0.42,-0.66,-0.07,-0.28,27.78,-0.51,0.08,-0.51,27.78,-0.42,-0.66,-0.07,-0.28,1.68,29.94,-0.6,33.91,24.78,0.3,-0.04,36.86,12.71,0.43,-0.07,0.14,-0.18,72.41,34.85,28.75,36.58,38.78,34.98,33.11,0,0,-0.8,0.18,-0.4,0.34,1.27,-0.06,38.46,0.49,-0.12,31.4,-0.1,24,0.28,-0.86,-1.6,-0.21
